# Sentences written for this pack where Tatoeba has fewer than two usable
# sentences for a word. Format: Persian<TAB>English. Formal register, 4-9
# words, pack vocabulary where possible. Reviewed by hand; they ship with
# "src": "gen" and no audio. Append only (line order sets the corpus ids).
البته من فردا به خانه‌ی شما می‌آیم.	Of course I will come to your house tomorrow.
رئیس ما امروز در دفتر نیست.	Our boss is not in the office today.
ما با یک گروه کوچک به کوه رفتیم.	We went to the mountains with a small group.
باران باعث شد دیر برسیم.	The rain made us arrive late.
صدای بلند تلویزیون باعث شد بچه بیدار شود.	The loud TV noise made the baby wake up.
او نیروی زیادی برای کار دارد.	He has a lot of energy for work.
آن‌ها سال‌ها رابطه‌ی خوبی با هم داشتند.	They had a good relationship for years.
این کتاب هزار صفحه دارد.	This book has a thousand pages.
دوست عزیزم، از نامه‌ات ممنونم.	My dear friend, thank you for your letter.
این دوره سه ماه طول می‌کشد.	This course takes three months.
خانه‌ی ما در طبقه‌ی دوم است.	Our house is on the second floor.
این دومین سفر من به ایران است.	This is my second trip to Iran.
من هم چای می‌خواهم و همچنین کمی نان.	I want tea too, and also a little bread.
او معلم است و همچنین کتاب می‌نویسد.	She is a teacher and also writes books.
داخل اتاق هوا خیلی گرم شد.	Inside the room it got very warm.
این شهر یک میلیون نفر جمعیت دارد.	This city has a population of one million.
خانه‌ی او یک میلیون دلار قیمت دارد.	His house costs a million dollars.
ما برای این روز خاص یک کیک خریدیم.	We bought a cake for this special day.
من امروز احساس خستگی می‌کنم.	I feel tired today.
این خیابان خیلی شلوغ است.	This street is very busy.
من از مغازه‌ی سر کوچه نان خریدم.	I bought bread from the shop at the end of the lane.
دیروز رفیق قدیمی‌ام را در بازار دیدم.	Yesterday I saw my old friend in the market.
با رفیقم به سینما رفتم.	I went to the cinema with my friend.
دشمن شب حمله کرد.	The enemy attacked at night.
در این اتاق فضای کافی نداریم.	We do not have enough space in this room.
من فضای آرام این شهر را دوست دارم.	I like the calm atmosphere of this city.
مردم علیه این قانون جدید حرف زدند.	People spoke against this new law.
